++ Type 
Main Story

++ Date 
2/7/2014

DamianStark:  ##800000| 	Finally. Thanks, Fred. Yer link worked. ## 
Kai_Tukov:  ##110481| 	"What do you know about her?" Kai never glances to Damian, instead watching her. "I heard through the grapevines she's tight with a few blues, none of the out east roses, so I can't imagine what her angle could have be." He says. "Exactly, things aren't real stable here and I'm poking my head in a few places I shouldn't, wondering if she's a cruise missile. ## 
DamianStark:  ##800000| 	"Yeah," he muses quietly. "I was wonderin' th'same thing." ## 
Guylian:  ##208020| 	(C - Fred's got my character sheet in case you need stats for rolling) ## 
DamianStark:  ##800000| 	He shrugs. "The Blueblood angle fits; it was a snotty fuckin' CEO type of a blue who sent me to th'airport after 'er. She's pretty damn familiar with th'way they operate. I think she used t'work for th'mob... Irish, if I don't miss." ## 
YaraST:  ##666666| 	Uh.... ~he stares blankly, his gum rolling out of his jaw~ Uh... Vincent...? ~he asks dully. Doesn't seem like he's being obstinate, just hasn't put all the pieces together. Guyli's pliable cabbie stares rather blankly at her, like a cursor on a blank screen~ ## 
Kai_Tukov:  ##110481| 	Leaning forward a bit, to get a better view throught the tinted windshield, he has to push his hair back behind his ear. "Ain't caused much trouble for any mob, and I didn't have much of the blues on my radar, at least here in Vegas." ## 
DamianStark:  ##800000| 	"Kai... Just like me, dude." he sighs and shakes his head. "You tripped HER radar." ## 
YaraST:  ##666666| 	~his eyes drop heavily down to look at the screen, and he ponderously replies, as if fighting through a mental fog~ He got off here. Went inside... ## 
DamianStark:  ##800000| 	"And-- agreed. I didn't really ping for the Blues until she arrived, really. Still don't know why they chose me, in particular." ## 
Kai_Tukov:  ##110481| 	The idea slams against a seawall of denial, the concept outside of his consideration. "Did she derail you from something?" ## 
Guylian:  ##208020| 	...with....? *Guylian dips forward making sure to keep his eyes firmly locked in hers, watery blue drowning in amber pools.* ## 
DamianStark:  ##800000| 	D thinks about it. Had she? He considers where he was in his life at the time, focusing on making things easier for Joseph and Aida from afar. "Well, not really, but she was sure as hell distracting." ## 
DamianStark:  ##800000| 	"I take it back." He reconsiders, chewing his lip. "Yeah," he says finally, his voice rough as a twenty-year smoker, "Yeah, she did. I never finished it either." ## 
Kai_Tukov:  ##110481| 	"With what you're walking around with..." He lets it hang, an airball missing the net by... ## 
Kai_Tukov:  ##110481| 	Damian's U-turn draws him up short. "Oh? So it wasn't just you?" ## 
YaraST:  ##666666| 	He was alone. ~the weak-willed cabbie responds, meeting vacant to vibrant eyes~ He had a bag. ~he volunteers, the only thing besides Vincent that apparently went with him~ ## 
Guylian:  ##208020| 	(Whaaaaat? *L*) ## 
DamianStark:  ##800000| 	He narrows his hawklike eyes in thought. "I think it was. We clicked. She wasn't anything like any of the dumb, corn-fed, shitheel motherfuckers I had to herd for th'damn Prince. I grabbed onto that like a stray lifeboat. ## 
DamianStark:  ##800000| 	" ## 
YaraST:  ##666666| 	~his hand lifts up, pointing towards Paris' front doors, looking like the facade of Versailles, his arm brushing her hair as he points past her, a bit of drool starting to trail out of the corner of his mouth~ ## 
DamianStark:  ##800000| 	"After the sinking of th'goddamn Titanic. Threw DiCaprio overboard and rowed that shit to shore." Reconsidering again, he blanches. "Maybe that was a bad analogy." ## 
DamianStark:  ##800000| 	He clarifies. "Drowning in idiots. She wasn't. Hung out." He soilently hopes Kai won't mistake his dumbing it down for himself as patronization. ## 
DamianStark:  ##800000| 	((soilently? Greenbly?)) ## 
DamianStark:  ##800000| 	((Mmmm, rum.)) ## 
Guylian:  ##208020| 	(It's a British accent thing ... like Drusilla's "Spoike") ## 
Kai_Tukov:  ##110481| 	"What did she draw you away from though?" ## 
Kai_Tukov:  ##110481| 	((Po' cabbie is getting brain moooooshed)) ## 
DamianStark:  ##800000| 	D falls silent, a pang of guilt stealing his words momentarily. "I..." he lets out the breath, then starts again. "I was tryin' t'make arrangements to get my brother safe." he chews his lip again, his face betraying the depth of his concern. "And Aida..." ## 
DamianStark:  ##800000| 	((Perspective, my dear, sweet, lovely, Gangrelmonster. Perspective." ## 
Kai_Tukov:  ##110481| 	"Were you able to?" ## 
Guylian:  ##208020| 	(Riiiiiight) ## 
Kai_Tukov:  ##110481| 	((I'd rather have a bottle in front of me...)) ## 
DamianStark:  ##800000| 	He sighs. "Never finished it. By the time I got back around to my plans, shit'd gone sideways, backwards, and every other way. My contact had gotten smeared all over Galveston, and my guy in Seattle went off to Europe or Asia minor or some shit." ## 
DamianStark:  ##800000| 	((Heh!)) ## 
YaraST:  ##666666| 	~the cabbie absently wipes the corner of his mouth with his sleeve, taking the 20 on auto-pilot. The couple do claim the cab; the poor, mystified driver reached the front of the queue in the time it took Guyli to extract her answers~ ## 
DamianStark:  ##800000| 	((Guylian in front of me = Frontal Labotomy)) ## 
DamianStark:  ##800000| 	((Though we can hope for full frontal nudity instead.)) ## 
DamianStark:  ##800000| 	((Which really is, in effect, the same thing. Lots of drooling. Inability to form a coherent sentence...)) ## 
Guylian:  ##208020| 	(blaming, not laming) ## 
DamianStark:  ##800000| 	Should have gone to Papau New Guinae. That's the fucking place to build it up. You get Papau, Risk is fuckin' yours. ## 
Kai_Tukov:  ##110481| 	"Here she comes, maybe she'll have some answers" ## 
DamianStark:  ##800000| 	((He knows the reality of it. It was his own stupidity.)) ## 
DamianStark:  ##800000| 	"About th'job, sure. She's focused. Unlike me." ## 
Guylian:  ##208020| 	*Hard to believe that this slip of a girl is the weapon of choice to derail many a Gangrel: 5'2, 120lbs soaking wet, her delicate frame a sliver of silver in the flickering lights of Vegas at night. She catches up with them, rapping her knuckles against the window on the driver side.* ## 
DamianStark:  ##800000| 	((That cabbie, BTW, is gonna remember her FOR-EVAH!)) ## 
Guylian:  ##208020| 	(Most likely he's going to be haunted by those eyes ... lose his job, end up drinking himself to death under a bridge *nods*) ## 
Kai_Tukov:  ##110481| 	Leaning across the seat, he pushes the door open for her. ## 
DamianStark:  ##800000| 	((Build a man a fire, and he's warm for a night. SET him on fire, and he'll be warm for the rest of his life. - Harry Dresden)) ## 
Kai_Tukov:  ##110481| 	((CAT)) ## 
Guylian:  ##208020| 	(She's on the driver side, not getting in ) ## 
Kai_Tukov:  ##110481| 	((Missed that)) ## 
Kai_Tukov:  ##110481| 	The window comes down. "Anything ## 
Kai_Tukov:  ##110481| 	? ## 
Kai_Tukov:  ##110481| 	(catcatcat) ## 
DamianStark:  ##800000| 	No matter Guylian showing up when she did, that plan had been doomed from the get-go. Even is Ujie had managed to get his hands on Aida and Joe, Faulk and Anastasia were centuries old. Neither of them was stupid enough to lose a valuable asset, even if those assets were Damian's brother and a girl he loved. ## 
DamianStark:  ##800000| 	((C, stop throwing cats at Fred!)) ## 
YaraST:  ##666666| 	((Wasn't me!)) ## 
DamianStark:  ##800000| 	D's white-belt level plays at intrigue would probably have been seen as cute, had their blundering bulk gotten far enough to get noticed by the Prince and the Harpy. ## 
Kai_Tukov:  ##110481| 	"I'll park and you guys head in now, I'll catch up." ## 
Kai_Tukov:  ##110481| 	((he's sleeping on my chest and headbutting everything)) ## 
DamianStark:  ##800000| 	D nods, blinking, grateful for the opportunity to NOT flog himself with a failure. For a change. ## 
YaraST:  ##666666| 	~it's quick access to the underground, but valets are handy, and for the Strip, it's worth the price~ ## 
DamianStark:  ##800000| 	He slides out of the rental, straightening his suit as he rises to his full height, towering over the diminutive Gangrel. ## 
DamianStark:  ##800000| 	D makes a face. "Just got my sense of smell back. That shit's burned on my brain." ## 
DamianStark:  ##800000| 	Don't matter how you dress 'em up. Sweaty balls are sweaty balls. Ugh. ## 
YaraST:  ##666666| 	~at least Vincent didn't smell foul, just... Well, like gym socks, but worse~ ## 
Kai_Tukov:  ##110481| 	((oh thank god)) ## 
Guylian:  ##208020| 	(So much better ....) ## 
Kai_Tukov:  ##110481| 	The beamer is lead around to the valets, Kai parting with the keys reluctantly. He reassures himself that if anyone wanted the car, they could get it from a parking lot just as easily. ## 
Kai_Tukov:  ##110481| 	((Kai got off chest. ## 
DamianStark:  ##800000| 	To Damian's rarified nose, it's still like snorting powdered athletic supporters. ## 
Kai_Tukov:  ##110481| 	((cat, rather. Fuck, just don't have it otgehtearadasd tonight)) ## 
DamianStark:  ##800000| 	((Poor F...)) ## 
YaraST:  ##666666| 	~at least G didn't grab his dance belt... Yick. People are ambling into the casino, but very few are wandering back out. But then, the joints are designed that way, to suck you in, and get you lost, never knowing what time it is outside as they work their magic to part people from their money~ ## 
DamianStark:  ##800000| 	D would never have a problem finding his way out of a casino. Some would say he followed the scent of sun-baked asphalt. He would call it ancient death left to dry in the sun. ## 
Guylian:  ##208020| 	*Guylian's eyes scan the crowd as she follows Damian, hoping to catch a glimpse of their elusive prey. The casino is a warren, their charge on the run.* ## 
YaraST:  ##666666| 	~tourists, tourists, tourists... There are a series of shops around the lobby, and huge planters filled with greenery, messing with sightlines and mocking the desert outside~ ## 
DamianStark:  ##800000| 	Once out of range of the stench of reconstituted millennia-old corpses, D scents for his prey. There would be gallons of sinus-blasting cologne and perfume to contend with, to separate Vincent's very honest scent from all the nasal-scouring odors. Antiseptic industrial cleaners, cigarette smoke, alcohol, ozone smell of electronic slots overheating from their ## 
Kai_Tukov:  ##110481| 	Kai walks up minutes later, suit jacket stashed and thin tin hanging loose around his neck. ## 
DamianStark:  ##800000| 	constant use, levers pulled again and again for the chance at a momentary bliss, a money-shot, like a masturbatory, phallic ceremony, the addicted, lusting masses mindlessly plugging and pulling, raping their own livelihoods and sacrificing security for chance. ## 
DamianStark:  ##800000| 	But I'm not judging, he thinks flippantly. ## 
DamianStark:  ##800000| 	There's something sexual underlying everything in this fucking town. He glances over to Guylian while trying the air, sampling the scent of arousal wafting from the young lady hanging on the every word of some high rolling forty-something with a suit worth more than Damian's car. Or Apartment. ## 
YaraST:  ##666666| 	~the interior is meant to evoke Paris, with faux avenues, or French palaces, with gilt, crystal chandeliers. But the stone is only plaster, and the crystal's just glass, the gilding only paint. The reek of food repels from a buffet, paling in comparison to the appeal of the patrons~. ## 
DamianStark:  ##800000| 	Yep. Something vaguely arousing everywhere y'He smirks. ## 
DamianStark:  ##800000| 	((Fuck)) ## 
Kai_Tukov:  ##110481| 	Waving off the greeter, he searches the caverous room with his gaze for the tall D-viking. ## 
YaraST:  ##666666| 	~a sliver of sweat, of chalk, of makeup of hairspray... It leads up an escalator, deeper into the labyrinth. It's been less than 45 minutes since they left the theatre; what could have happened?~ ## 
DamianStark:  ##800000| 	everywhere y'turn. Only he was nearly arm-in-arm with that which was his flavor of poison. ## 
DamianStark:  ##800000| 	D moves up the escalator, to the next casino floor where the people got richer and the decorations more garish yet. ## 
DamianStark:  ##800000| 	God, this place sucks. ## 
DamianStark:  ##800000| 	He masks his next few sniffs of the air as a sneer at one of the more "historical" pieces from the Domain of Charlemagne... ## 
YaraST:  ##666666| 	~the waitresses endlessly shlepping drinks to the tables would probably agree with Damian, carrying booze to ply the patrons to part with more cash. The thread of scent pools, leading off towards the craps tables~ ## 
DamianStark:  ##800000| 	"He stopped here to look fer someone." ## 
DamianStark:  ##800000| 	Or something... ## 
DamianStark:  ##800000| 	He shifts his course unerringly,m as if he knows his way around. ## 
DamianStark:  ##800000| 	((Outside point of view: D tracking a guy by scent is fucking creepy looking.)) ## 
DamianStark:  ##800000| 	((Realized that just now.)) ## 
Kai_Tukov:  ##110481| 	((Nah, depends how deep he's breathing... with the senses and auspex? wouldn't be obvious)) ## 
Guylian:  ##208020| 	*She follows Damian like a shadow by his side, inwardly musing how she'd hoped for an evening of less hunting and retrieving and more ...well, fun. Instead, here she was, tiptoeing around two Gangrel, trying to locate an errant dancer and mindraping cab drivers. * ## 
YaraST:  ##666666| 	~a waitress offers the trio martini glasses, mumbling something about the night's special~ ## 
DamianStark:  ##800000| 	Now this is exactly what I had had in mind for tonight. Some Torries in town need t'have their curtains shredded... and maybe their favorite dress-- preferably while they wear them. ## 
YaraST:  ##666666| 	~as if trying to emulate a scene out of a Bond flick, people crowd around a table as someone shoots dice. It's a man in a crumbled suit, looking too bright and happy; three sheets to the wind, he inadvertently offers his dice to his buddy on his left, not the blonde hanging off his right. His wingman nearly swallows them~ ## 
Kai_Tukov:  ##110481| 	Kai shakes his head, at the offer, finally pulling up to the other two. "So..." ## 
YaraST:  ##666666| 	~the scent lingers, tendrils curling around the table, wrapping around the croupier~ ## 
YaraST:  ##666666| 	~the players, however, seem to have arrived later, pushing the scent away from their end~ ## 
DamianStark:  ##800000| 	D gives the waitress a lopsided grin. "Thanks," he murmurs at her, taking the glass. He looks at it. Shaken, not stirred. With bad Vermouth. Of course ## 
YaraST:  ##666666| 	~the trio don't attract much attention; some people watchers, glances from security... No scrutiny their way over that given generally~ ## 
DamianStark:  ##800000| 	Bond. James Bond. He frowns at the glass, his mind immediately dropping a memory of a steel plate and a plasma cytter on him like... well, that doesn't NEED an analogy, does it? ## 
Guylian:  ##208020| 	*Guylian chooses to ignore the offer, waving it off with a polite smile, still searching the faces of the crowd for that one face. She's briefly distracted when Kai joins them, but since he's not trying to bite her head off for the little liberty she took earlier in the car, she resumes her scanning the crowd for the dancer that got away.* ## 
DamianStark:  ##800000| 	((cutter. *facepalm*)) ## 
Kai_Tukov:  ##110481| 	No answer from Damian, Kai circles out wider, looking over the patrons gathered here. ## 
DamianStark:  ##800000| 	D slowly circles the scent, busying his eyes and the imaginations of others by drawing them up the legs of a party girl and her gaggle of friends. The idle part of his mind took shots as to which of them was actually wearing panties under their skirts... belts? ## 
YaraST:  ##666666| 	~no evident sign of him yet... Damian can smell the trace of their quarry, leading away, towards another escalator; Kai doesn't note him around the tables, though the banks of slot machines are hard to scan. Someone waves some chips at Guylian, laughing raucously with some friends, wearing a shirt with a ball and chain on it~ ## 
DamianStark:  ##800000| 	D stalks languidly toward the escalator, giving a small grin to the poor doomed soon-to-be ex-bachelor. ## 
Guylian:  ##208020| 	*Oh, the fun that could be had if it weren't for tonight's order of business. Guylian slinks after Damian, keeping her eyes and ears open, just in case. Another escalator.* ## 
DamianStark:  ##800000| 	His last hurrah might turn a bit ugly if he gets her attention, he thinks, if she's too hungry. He could very well happen in Vegas... and no one would ever find the body. ## 
DamianStark:  ##800000| 	((Damn! redact after ... please.)) ## 
DamianStark:  ##800000| 	... and while he may not stay in Vegas, no one would ever find the body. ## 
DamianStark:  ##800000| 	D smiles darkly at that one. Need to find out if Antonio had used that threat before. ## 
Kai_Tukov:  ##110481| 	He looks to the taunters for a moment, but sees that Damian has it handled. ## 
YaraST:  ##666666| 	~the scent gets fresher as they rise up over the crowd, arriving at a small, poorly-populated bar centred around a Grecian-style rotunda, with little fussy, filigree wrought-iron railings, the whole having a view of the casino floor~ ## 
DamianStark:  ##800000| 	Don't wanna scam the Princes threats, good as that one was... ## 
YaraST:  ##666666| 	((http://www.parislasvegas.com/things-to-do/le-central.html#.UZbSdspXqOE)) ## 
DamianStark:  ##800000| 	Ain't that just fuckin' quaint? I think I may have thrown up a little in my mouth. ## 
YaraST:  ##666666| 	~the scent is strong and recent, and Kai might well recognize a dull grey sweatshirt, its hood pulled up over a hunched-shouldered occupant of one of the white pleather chairs~ ## 
Kai_Tukov:  ##110481| 	((Wow, do they all use HD photos? That super high contrast look?)) ## 
Guylian:  ##208020| 	(So cute! *L*) ## 
Kai_Tukov:  ##110481| 	Kai points at his eyes with an index and middle finger, then at the hoodied one, looking purposefully to the other two. He takes point. ## 
YaraST:  ##666666| 	~the clouds and sunny blue "sky" overhead may feel somewhat unfamiliar, or like a kick in the teeth. Rather looks like that's what someone might have done to Vincent, from his dejected pose, his dancer's body great at projecting emotion~ ## 
DamianStark:  ##800000| 	D screws down his courage and dives into Cutesie-Little-Bistro-Land. The painted sky on the ceiling, cheery, with it's own happy little clouds, drilled a hole into D's resolve, an unreasoning fear of the sun and all its lethal beauty. The apartment buildings and their deep shadows loomed in his mind, his first real brush with sunlight causing the beast to ## 
DamianStark:  ##800000| 	churn and writhe in the pit within him. ## 
DamianStark:  ##800000| 	If Bob Ross is here.... I'm running. ## 
Kai_Tukov:  ##110481| 	Kai takes a place at the bar, looking to Vincent to try to get confirmation. The last thing they need is for a clothing swap. ## 
DamianStark:  ##800000| 	D slows as he sights his prey, and comes to a stop in defiance of the beast leaping at the end of the chase the dancer represents. The Beast chokes and flips itself off its feet at the end of the chain of will Damian put him on in preparation for this moment. ## 
YaraST:  ##666666| 	~from what Kai can tell, it's the guy. He gets a clear look as Vincent knocks back a shot of something clear, his closed eyes outlined starkly in black kohl, stage makeup still in place there~ ## 
YaraST:  ##666666| 	~the bartender looks up from the endless chores of prepping and mixing, toweling off the wood as he glances at the newcomers, ready to take their orders~ ## 
DamianStark:  ##800000| 	D glances around the room, gawking like a tourist, but keeping the quarry in his peripheral. ## 
Kai_Tukov:  ##110481| 	"Vincent, if you just wanted to drink before the after party and hit a few tables up, it could have been arranged." Kai begins in a light tone, nodding to Guylian to hopefully back him up with a soft touch. ## 
Guylian:  ##208020| 	(*chortles*) ## 
YaraST:  ##666666| 	~Vincent blinks at Kai, both trying to place him, and focus, it seems. His makeup is a bit smudged; Kai might note some tell-tale smudges on his sleeve~ I... Seb told me to go... That I shouldn't go anywhere with anyone... ~his voice drops to a hoarse whisper. Damian's skills aren't necessary to pick out the hint of vodka~ ## 
YaraST:  ##666666| 	~some of the dancers backstage, they'd mentioned a Seb... Looks like he might know something the rest of the cast didn't~ ## 
YaraST:  ##666666| 	~the other drinks at the bar seem engrossed in watching the drama on the floor, even if they can't make out the cards. Damian doesn't note anyone paying them much mind, boring as they are, just talking quietly or standing around~ ## 
DamianStark:  ##800000| 	And now the phrase, "We'll always have Paris" seems somehow more bleak... ## 
YaraST:  ##666666| 	~Guylian's kind gesture causes his chin to wobble and his eyes to fill up (not for the first time, from their redness) but he doesn't lose it, though he quickly presses her offering to his eyes~ S-sorry... Thank you. God, I'm a mess... ~he mutters into his empty shot glass~ ## 
YaraST:  ##666666| 	~were the Roses playing it straight? The guy's got something on his mind. Maybe he needed to get away from the theatre quickly...~ ## 
DamianStark:  ##800000| 	He looks around, turning to get a bird's eye of the casino floor, the first time he's taken a chance to see if the pranksters who'd put them on this hose job had sent a tail to snicker at them from somewhere near while the others did so from afar. His mind brings up an image of hissing, offended Toreador, and he smiles a little grimly. ## 
YaraST:  ##666666| 	~if there's a tail, Damian can't see it... they seem to be quite confident in their delegates, or at least, aren't making it obvious to the contrary~ ## 
Kai_Tukov:  ##110481| 	Sebastian, most likely. Will have to check that out fully, later. "Looks like you've had a rough night, anything we can do to help? We're supposed to show you the sights before the party." ## 
DamianStark:  ##800000| 	A sudden thought changed his parameters. He looks more for those who watch Vincent, rather than the errant trio of Gangrel, sliding over to the rail to be out of the way and nonchalant. ## 
Guylian:  ##208020| 	*She waves the bartender, getting Vince a water. As dehydrated as the dancer must be after the show he'd need more than a shot of vodka or two.* ## 
Kai_Tukov:  ##110481| 	He nods to Damian subtly, to let him know to keep up the watch out. ## 
DamianStark:  ##800000| 	Likely they're just sitting in the damn security booth somewhere. Judas Priest queues up in his head, Halford screaming out ablutions of Big-Brother style voyeurism. ## 
YaraST:  ##666666| 	~the viking at the rail gets a few glances upwards as his shadow stretches over the tables, but he seems to be dismissed after a moment~ Were you sent to hurt me? ~he asks, watching the bartender amble off to get the water Guyli sent him for~ Seb was so worried coming to town. ~he hiccups; the alcohol must have hit him hard~ Said it's all bad people here. ## 
DamianStark:  ##800000| 	D gives kai no indication that he saw, but does as he's silently bidden anyway. ## 
DamianStark:  ##800000| 	Heh. It's a bad town, he murmurs in his own head, his inner Bogart perhaps a bit better than his impression of the noir star. ## 
DamianStark:  ##800000| 	Jesus Christ on a crutch. Noir. voyeurism... Well, when in Paris... ## 
DamianStark:  ##800000| 	He briefly considers jumping over the rail to bash his own head in on the gambling floor below. Only the fact he did not enunciate any of that bullshit was all that stayed his hand. ## 
DamianStark:  ##800000| 	Man, I need to find a Brujah or a Nos to get into a fight with. I really need my ass kicked for even thinking that fucking tripe. ## 
Kai_Tukov:  ##110481| 	"No, just to deliver you to the afterparty after showing you around." He gives a small light laugh. "That's all." ## 
YaraST:  ##666666| 	Oh... What about the bus station? Show me that? ~he asks~ ... No, doesn't matter. It's all gone anyway... ~he takes a deep breath, his spine straightening as the bartender sets ice water in front of the three~ What kind of people are going to be at this party? Rich people? ## 
Guylian:  ##208020| 	Maybe you would like to call Seb? And he could tag along if that would make you feel better? *There's a nagging little thought stealing itself into Guylian's mind.* ## 
Guylian:  ##208020| 	*She's sorely tempted to feed him as much Vodka as she could possibly cram into the lithe dancer before he passed out. Just to keep him from that party. She looks up, trying to catch Kai's gaze, hoping he'd get the idea of her growing unease.* ## 
DamianStark:  ##800000| 	D fishes into the pocket of his duster and taps out a clove from its crimson and black pack. The smells in here have got to go... He clacks open his lighter and lights it. Letting the smoke drift through his lips and inhaling it through his nose, he burns his sinuses with the cloying, strong smoke. His neck twitches as his nose screamks once before going ## 
DamianStark:  ##800000| 	blessedly silent. ## 
Kai_Tukov:  ##110481| 	He shakes his head at Guylian. "Standard 'entertain patron of the arts' type of shindig. Smile, make brief conversation. The usual." ## 
Kai_Tukov:  ##110481| 	((rapidly approaching pumpkin time)) ## 
DamianStark:  ##800000| 	((That it is)) ## 
Guylian:  ##208020| 	(Meeeh) ## 
DamianStark:  ##800000| 	((Yer a fuckin' beast.)) ## 
YaraST:  ##666666| 	No... Seb's going to be angry. ~he says resignedly, the drunkenness still there, but he's tamping it down out of sheer force of will~ Let's go. Let's just get out of here and... And stuff. ~he seems to be considering Kai's comment, mentally calculating something through the haze of vodka~ ## 
YaraST:  ##666666| 	... Who are you, anyway? ~he asks, pausing~ ((And going to stop it there... Heh.)) ## 
DamianStark:  ##800000| 	*bouncybouncy* ## 
Guylian:  ##208020| 	(Moo-oom, only 5 more minutes) ## 
Guylian:  ##208020| 	(*L*) ## 
Kai_Tukov:  ##110481| 	Heh, the trio has run him down. Got plans now to tie this all together. ## 
Guylian:  ##208020| 	(G has second thoughts about delivering him to the party tho' ) ## 
YaraST:  ##666666| 	((I figure there's about 2 in-game hours before the time Alicia said to bring him by. ~nod~)) ## 
DamianStark:  ##800000| 	Definitely. D may just offe rto stay on as his bodyguard, protect him from the people who hired him for this, and earn a few more hisses. ## 
Guylian:  ##208020| 	More peeing on rosebushes? ## 
DamianStark:  ##800000| 	Yep. They came and peed on his yard. It's only fair. ## 
Guylian:  ##208020| 	Very nice, tight playing tonight ## 
DamianStark:  ##800000| 	Agreed! ## 
YaraST:  ##666666| 	I'll get the log up sooner than the last time. ~chuckle~ Let me know when we're playing next week. ## 
Guylian:  ##208020| 	(heh ....so what's with Damian randomly changing into bird form? Is that a tick he's developing? ## 
Kai_Tukov:  ##110481| 	I'll keep people informed. ## 
DamianStark:  ##800000| 	He was planning to find the guy in his own way. Too used to working on his own. ## 
DamianStark:  ##800000| 	I'm good for next Friday. ## 
DamianStark:  ##800000| 	I think... ## 
YaraST:  ##666666| 	Probably a lot more room back for a guy his size. ~L~ ## 
YaraST:  ##666666| 	Back there, rather. ## 
DamianStark:  ##800000| 	Yep. He realized how ridiculous he was. Plus, like he considered, he always embarrasses himself with other people around. The Tremere ghoul's house was the last time he was at all effective in front of another Kindred in Vegas. ## 
DamianStark:  ##800000| 	In bird form, at any rate. ## 
DamianStark:  ##800000| 	I've been in the back seat of a midsize Mercedes. I'd already eaten lunch, so eating my knees wasn't as satisfying as it could have been. ## 
Guylian:  ##208020| 	Sometimes it pays to be fun-sized! ## 
DamianStark:  ##800000| 	You'd know... ## 
YaraST:  ##666666| 	~snerk~ ## 
Guylian:  ##208020| 	A-yep ## 
DamianStark:  ##800000| 	*grin* ## 
Kai_Tukov:  ##110481| 	~innocent whistle~ ## 
DamianStark:  ##800000| 	*peer* ## 
DamianStark:  ##800000| 	In my experience, Tyler, when someone uses the term 'innocent' in regards to themselves, they are anything but... ## 
Guylian:  ##208020| 	Pot, meet kettle ## 
YaraST:  ##666666| 	~cackle~ ## 
DamianStark:  ##800000| 	Heh. ## 
DamianStark:  ##800000| 	Oh! Chris Terbush says hello. ## 
Guylian:  ##208020| 	*cricket chirp* ## 
DamianStark:  ##800000| 	Played Caleb Knight. Did his own thing, but Fred, we were at his house when you were in Wichita. ## 
Kai_Tukov:  ##110481| 	Completely. Anyways, got a long weekend. Oh! How is Chris doing? ## 
DamianStark:  ##800000| 	You met him too, Micha. Big, goofy bastard. ## 
Guylian:  ##208020| 	I do remember the name Caleb Knight tho'... just the family name didn't ring a bell ## 
DamianStark:  ##800000| 	Has two kids (girls) and a wife. Works a Gangrel ghoul's job. Greyhound bus station. ## 
Kai_Tukov:  ##110481| 	Congrats to him! Glad he's doing well. ## 
Guylian:  ##208020| 	Heh! All grown up ## 
DamianStark:  ##800000| 	I miss the guy. If you guys are amenable, he'd like to watch the game; maybe read the logs.' ## 
DamianStark:  ##800000| 	I wouldn't say he's all grown up. Heh. Just an older version of a 12 year old. *L* ## 
YaraST:  ##666666| 	... I don't know that I ever met him in game... ~think~ ## 
Kai_Tukov:  ##110481| 	Well, reading our records seems fine. ## 
Kai_Tukov:  ##110481| 	May want to run him some solo first, get him up to speed. ## 
YaraST:  ##666666| 	~nods~ I don't much mind people reading the logs. ## 
Kai_Tukov:  ##110481| 	Oh, btw: the Marget Weis productions Marvel game is damn good. ## 
DamianStark:  ##800000| 	That'd be perfect. He doesn't get to do a lot outside the RP he and his Wife do... (That sounded perhaps a little bad.) ## 
DamianStark:  ##800000| 	I'll check that out. ## 
Guylian:  ##208020| 	Gutter alert, gutter alert ## 
DamianStark:  ##800000| 	Oh! We found my house! ## 
DamianStark:  ##800000| 	Yay! ## 
Guylian:  ##208020| 	Hmmrr? ## 
Kai_Tukov:  ##110481| 	Aaaanyways, you guys have a nice weekend. We have home improvements to do. ## 
Guylian:  ##208020| 	We really do manage to hold it together until midnight. after midnight it all starts to fall apart and making no sense. ## 
DamianStark:  ##800000| 	We've improved. We used to NEVER make sense. ## 
YaraST:  ##666666| 	Urg... Right, painting and stuff. ... ~sighs~ Heh. ## 
Kai_Tukov:  ##110481| 	Chad lives in the gutter, with his mind. ## 
DamianStark:  ##800000| 	At least I've found it, and it's happy there. ## 
Kai_Tukov:  ##110481| 	lates! ## 
DamianStark:  ##800000| 	Night all... ##
